TEMP,HUMIDITY,RAINMETER,SOILMOISTURE,SUNLIGHTINTENSITY,SOILPH,SOILNUT,CROP
33,60,4095,4095,20475,5,5,1
33,60,4095,4095,20475,5,5,1
33,60,4095,4095,20475,5,5,1
33,60,4095,4095,20475,5,5,1
33,60,4095,4095,20475,5,5,1
33,60,4095,4095,20475,5,5,1
33,60,4095,4095,20475,5,5,1
33,61,4095,4095,20475,5,5,1
33,61,4095,4095,20475,5,5,1
33,54,4095,4095,20475,4,5,1
33,61,2176,2534,5680,4,10,2
33,61,2138,2522,5730,4,10,2
33,61,2081,2511,5605,4,10,2
33,61,2064,2488,5625,4,10,2
33,61,2061,2498,5555,4,10,2
33,61,2007,2475,5360,4,10,2
33,61,2031,2490,5455,4,10,2
33,61,2000,2491,5395,4,10,2
33,61,1985,2480,5405,6,10,2
33,54,1881,2490,5425,6,10,2
33,61,1914,2455,20475,6,25,3
33,61,1918,2438,20475,6,25,3
33,61,1874,2467,20475,6,25,3
33,61,1787,2439,20475,6,25,3
33,61,1504,2417,20475,6,25,3
33,61,2417,2498,20475,6,25,3
33,61,2417,2496,20475,6,25,3
33,61,2435,2496,20475,6,25,3
33,61,2432,2514,20475,6,25,3
33,61,2418,2489,20475,6,25,3
